Provider ID,Hospital Name,Summary star rating,ZIP Code,City,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,MORT_30_AMI,PSI_11_POST_RESP,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,PSI_4_SURG_COMP,PSI_14_POSTOP_DEHIS,PSI_6_IAT_PTX,MORT_30_STK,PSI_8_POST_HIP,PSI_13_POST_SEPSIS,PSI_15_ACC_LAC,PSI_90_SAFETY,MORT_30_HF,PSI_3_ULCER,COMP_HIP_KNEE,MORT_30_PN,MORT_30_COPD,PSI_9_POST_HEM,HAI_2_SIR,HAI_6_SIR,HAI_3_SIR,HAI_5_SIR,HAI_4_SIR,HAI_1_SIR,READM_30_PN,READM_30_HF,EDAC_30_HF,READM_30_STK,READM_30_AMI,READM_30_COPD,READM_30_CABG,EDAC_30_AMI,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,MSPB_1,OP_10,OP_13,OP_11,OP_14,OP_8,OP_9,OP_25,OP_17,OP_12,SM_SS_CHECK,SM_PART_GEN_SURG,SM_PART_NURSE,ACS_REGISTRY,OP_4,OP_22,OP_5,OP_21,OP_20
10023,BAPTIST MEDICAL CENTER SOUTH,3,36116,MONTGOMERY,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,13.0,10.34,3.13,5.7,0.9,148.41,2.09,0.38,14.8,0.1,5.37,0.8,0.85,11.7,0.24,2.7,16.9,10.0,4.06,0.9059999999999999,1.383,0.0,0.912,,0.87,17.9,21.9,-3.2,12.6,16.3,20.4,17.3,12.6,15.5,4.7,1.03,4.1,0.0,0.4,1.9,40.0,5.8,Yes,Yes,Yes,Y,N,Y,,,2.0,,68.0,33.0
10024,JACKSON HOSPITAL & CLINIC INC,3,36106,MONTGOMERY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,14.8,12.02,3.4,4.3,0.89,159.93,2.08,0.3,13.0,0.11,5.4,0.8,1.16,12.0,1.57,2.0,19.7,8.4,4.18,1.011,1.189,0.71,1.2670000000000001,0.769,1.5959999999999999,18.4,20.0,6.2,13.1,16.8,17.5,14.3,31.6,15.6,4.7,1.02,18.2,,0.2,1.1,50.0,4.5,Yes,Yes,Yes,Y,N,N,,,4.0,,56.0,37.0
10029,EAST ALABAMA MEDICAL CENTER,4,36801,OPELIKA,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,17.0,12.45,4.99,5.1,1.07,157.39,2.0,0.36,15.6,0.12,5.69,1.19,0.97,12.0,0.06,2.9,15.6,8.4,3.67,1.3159999999999998,0.564,0.0,1.71,0.701,0.8079999999999999,17.7,22.3,36.2,13.1,16.2,18.9,10.6,53.1,15.1,5.2,0.9,13.4,5.3,1.1,2.2,40.6,7.5,Yes,Yes,Yes,Y,N,N,,92.0,3.0,8.0,79.0,44.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,4,35233,BIRMINGHAM,AL,Acute Care Hospitals,Government - State,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,11.6,10.17,4.39,2.4,0.85,144.56,1.5,0.3,16.5,0.09,6.72,1.13,1.02,10.0,0.56,3.4,13.0,7.7,4.78,0.309,0.642,0.879,1.371,0.792,0.7290000000000001,18.0,22.0,30.1,15.0,16.4,20.0,12.8,30.8,16.8,5.6,0.96,22.3,10.5,0.1,1.5,40.7,7.0,Yes,Yes,Yes,Y,Y,Y,Y,,4.0,,91.0,40.0
10034,COMMUNITY HOSPITAL INC,3,36078,TALLASSEE,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,,,4.25,,,,,0.39,,0.1,,,0.99,9.4,0.22,,12.8,7.1,4.72,,1.128,,,,,15.8,21.7,-37.9,,,19.8,,,14.8,,0.94,10.8,,7.6,,,5.7,Yes,Yes,Yes,Y,N,N,,94.0,4.0,20.0,90.0,30.0
10035,CULLMAN REGIONAL MEDICAL CENTER,3,35058,CULLMAN,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,14.3,15.73,2.85,,1.08,136.05,2.16,0.34,16.8,0.11,7.1,0.85,1.04,12.4,0.12,2.7,20.2,7.8,4.25,0.36200000000000004,0.38799999999999996,0.0,0.797,,0.40700000000000003,16.2,23.6,17.0,11.4,16.2,18.2,,-5.3,15.6,5.0,0.97,7.0,5.2,3.5,1.2,45.9,5.0,Yes,Yes,Yes,Y,N,N,,100.0,0.0,7.0,64.0,26.0
10036,ANDALUSIA REGIONAL HOSPITAL,3,36420,ANDALUSIA,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,13.7,,3.81,,,,2.22,0.37,11.8,0.1,,0.87,0.95,10.9,0.17,2.2,15.6,7.2,4.62,0.0,0.687,,,,,17.7,22.7,-15.1,12.2,,20.2,,,15.4,4.0,0.94,9.9,1.2,16.5,1.5,29.1,5.2,Yes,Yes,Yes,Y,N,N,,100.0,1.0,0.0,21.0,3.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,3,36201,ANNISTON,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,12.9,12.86,4.28,,1.1,,2.2,0.43,13.6,0.12,6.22,0.86,1.01,12.6,0.17,2.6,14.0,6.7,4.36,0.6629999999999999,0.598,,,,,18.6,22.5,10.3,13.6,16.2,19.8,,1.3,15.4,4.7,0.98,6.4,3.5,8.7,1.6,,10.3,Yes,No,No,Y,N,N,,,1.0,,71.0,22.0
10039,HUNTSVILLE HOSPITAL,3,35801,HUNTSVILLE,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,13.0,12.67,4.05,1.8,1.13,170.87,1.64,0.34,16.8,0.11,7.6,0.67,1.11,11.6,0.51,2.0,17.3,9.0,4.46,1.138,0.435,0.87,2.005,0.611,1.2329999999999999,17.3,21.0,20.6,12.6,15.9,20.1,11.7,0.6,15.6,4.9,1.01,16.0,5.7,0.2,2.7,44.1,6.0,Yes,Yes,Yes,Y,N,Y,,100.0,1.0,9.0,60.0,35.0
10040,GADSDEN REGIONAL MEDICAL CENTER,2,35903,GADSDEN,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,15.1,13.68,4.0,3.0,0.98,136.68,2.04,0.34,13.1,0.1,8.23,0.81,1.07,13.0,0.08,4.2,17.5,8.1,3.93,0.431,0.7909999999999999,0.0,1.9769999999999999,,0.26,19.2,21.8,38.9,11.9,16.6,19.9,14.5,1.6,16.1,5.7,1.03,12.0,5.3,4.3,1.4,38.9,6.8,Yes,Yes,Yes,Y,N,N,,,6.0,7.0,96.0,35.0
10044,MARION REGIONAL MEDICAL CENTER,5,35570,HAMILTON,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,0.4,,0.1,,,1.0,10.3,0.25,,14.1,8.0,,,,,,,,15.7,20.7,-0.1,,,18.2,,,15.0,,0.9,7.5,,2.6,0.0,,,Yes,Yes,Yes,Y,N,N,,100.0,2.0,9.0,36.0,25.0
10045,FAYETTE MEDICAL CENTER,5,35555,FAYETTE,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,,,4.21,,,,2.22,0.39,15.6,0.1,,0.87,0.97,10.3,0.22,,15.7,7.7,4.72,,2.472,,,,,19.0,21.6,21.6,11.4,,21.5,,,15.9,,0.94,2.3,,0.0,2.1,43.6,13.3,Yes,Yes,Yes,Y,N,N,,95.0,2.0,5.0,40.0,11.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,2,35901,GADSDEN,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,14.0,12.59,3.3,2.6,1.03,152.04,2.16,0.33,12.9,0.1,6.08,0.84,0.92,9.6,0.09,2.9,14.7,7.6,4.2,1.449,0.36700000000000005,0.0,3.167,,1.227,16.2,25.7,78.0,13.0,16.5,20.8,13.2,7.6,15.4,4.4,0.97,4.0,,6.4,,,,Yes,Yes,Yes,Y,N,N,,,4.0,2.0,68.0,19.0
10047,GEORGIANA MEDICAL CENTER,4,36033,GEORGIANA,AL,Acute Care Hospitals,Proprietary,Yes,Y,,,Same as the national average,Same as the national average,Above the national average,,,,,,,,,0.39,,0.1,,,0.99,11.8,0.23,,15.7,8.2,,,,,,,,17.5,22.0,-3.0,,,19.4,,,16.0,,0.93,5.7,,,,,,Yes,No,Yes,Y,N,N,,93.0,1.0,5.0,50.0,34.0
10049,MEDICAL CENTER ENTERPRISE,3,36330,ENTERPRISE,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,,11.04,3.7,,1.11,,2.22,0.38,14.7,0.12,5.62,0.87,0.93,16.5,0.2,2.1,18.4,10.3,4.92,1.807,0.389,,,,,17.0,21.7,-8.8,12.2,,20.8,,,15.3,3.8,1.01,6.4,,1.0,4.5,40.0,7.7,Yes,No,Yes,Y,N,N,,100.0,2.0,8.0,71.0,22.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,3,36853,DADEVILLE,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Above the national average,,,,,,,,,0.39,,0.1,,,1.0,11.8,,,14.5,7.6,,,,,,,,17.4,21.4,-30.4,,,19.3,,,16.1,,0.91,1.7,,,,,,Yes,No,No,N,N,N,,87.0,1.0,8.0,60.0,24.0
10055,FLOWERS HOSPITAL,4,36305,DOTHAN,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,14.9,12.75,3.34,3.2,1.05,157.98,2.02,0.47,16.9,0.11,5.21,0.8,0.94,13.1,0.26,3.3,15.7,8.5,4.09,1.3219999999999998,0.467,0.903,0.81,0.0,0.434,15.1,19.9,-3.9,11.7,16.7,17.8,12.3,16.1,14.5,5.0,1.02,3.8,6.4,0.7,2.3,44.1,5.6,Yes,Yes,Yes,Y,N,N,,,1.0,,78.0,39.0
10056,ST VINCENT'S BIRMINGHAM,4,35205,BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,14.9,14.57,5.44,5.3,1.31,164.21,2.86,0.37,14.1,0.09,6.38,0.74,1.08,10.3,0.06,2.5,14.4,7.1,3.47,1.0170000000000001,0.488,0.48,1.06,1.374,1.8519999999999999,16.1,21.0,34.8,12.2,16.6,19.6,17.6,25.3,13.7,4.0,1.05,7.4,7.8,1.8,2.0,40.8,6.9,Yes,Yes,Yes,Y,N,Y,,,2.0,,57.0,44.0
10059,LAWRENCE MEDICAL CENTER,3,35650,MOULTON,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,,,,,,,,0.39,,0.1,,,0.99,12.2,0.23,,15.0,6.8,,,,,,,,15.9,20.9,28.6,,,19.1,,,14.5,,0.88,4.8,,1.3,5.0,55.3,6.6,Yes,Yes,Yes,Y,N,N,,95.0,1.0,6.0,46.0,17.0
10061,HIGHLANDS MEDICAL CENTER,3,35768,SCOTTSBORO,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,,9.93,3.91,,1.11,,2.24,0.38,14.5,0.1,6.47,0.87,0.94,12.0,0.18,2.7,15.5,8.8,5.0,1.403,0.996,,,,,16.5,21.3,7.3,13.6,,19.5,,,15.4,4.3,0.96,4.5,2.1,0.0,,,,Yes,Yes,Yes,Y,N,N,,83.0,2.0,18.0,98.0,43.0
10062,WIREGRASS MEDICAL CENTER,4,36340,GENEVA,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Above the national average,,,10.15,4.23,,1.11,,,0.39,,0.1,,,0.93,13.8,0.22,,16.0,8.7,4.69,,0.0,,,,,17.2,20.5,16.8,,,20.0,,,15.1,,0.98,28.3,,0.0,,,3.0,Yes,Yes,Yes,Y,N,N,,75.0,4.0,6.0,45.0,23.0
10065,RUSSELL HOSPITAL,4,35010,ALEXANDER CITY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,14.0,9.79,3.52,,1.11,,2.22,0.43,14.9,0.1,5.58,1.3,0.89,12.9,0.16,3.9,19.7,7.4,5.45,0.191,0.8290000000000001,,,,,18.4,21.7,-23.4,12.1,15.8,17.7,,-33.1,15.8,6.8,0.99,5.7,,3.6,0.6,,6.7,Yes,Yes,Yes,Y,N,N,,97.0,1.0,0.0,49.0,17.0
10069,MEDICAL CENTER BARBOUR,4,36027,EUFAULA,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,,,4.23,,,,,0.39,13.3,0.12,,,1.03,11.5,0.22,,15.5,8.6,4.73,,0.634,,,,,15.8,20.2,-38.8,12.6,,20.8,,,14.6,,1.0,5.1,7.6,6.0,,,2.3,Yes,No,Yes,Y,N,N,,100.0,3.0,14.0,56.0,9.0
10073,CLAY COUNTY HOSPITAL,3,36251,ASHLAND,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,Same as the national average,,,,,,,,0.39,,0.1,,,0.99,13.7,0.23,,18.3,8.5,,,,,,,,16.7,19.3,-1.8,,,20.1,,,14.3,,1.03,5.5,,8.2,,,4.2,Yes,Yes,Yes,Y,N,N,,83.0,1.0,9.0,68.0,21.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,3,36207,ANNISTON,AL,Acute Care Hospitals,Government - Local,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,12.2,14.1,5.59,4.2,1.23,168.71,2.56,0.35,14.0,0.09,9.43,0.79,1.28,12.2,0.41,4.1,18.7,7.0,4.54,1.081,0.29,0.0,1.5319999999999998,,1.686,16.4,20.0,40.0,11.8,16.6,18.2,14.9,24.4,15.3,6.0,1.0,9.6,9.2,0.7,3.4,47.1,7.6,Yes,No,No,Y,Y,Y,,94.0,2.0,12.0,86.0,59.0
10079,ATHENS LIMESTONE HOSPITAL,3,35611,ATHENS,AL,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,,17.67,4.66,,1.1,,2.21,0.43,14.7,0.1,5.42,0.86,1.11,11.1,0.14,2.5,18.0,7.6,4.48,0.0,0.625,,,,1.794,18.0,22.3,0.9,12.9,,21.1,,,15.4,4.4,0.92,27.2,4.3,0.3,2.6,43.5,8.4,Yes,Yes,Yes,Y,N,Y,,96.0,2.0,5.0,72.0,26.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,4,36535,FOLEY,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,13.8,15.1,4.19,,1.08,,2.15,0.46,15.6,0.12,5.13,0.85,1.02,11.2,0.12,2.8,14.0,7.2,4.52,0.741,0.737,1.953,0.0,,0.0,17.4,21.0,13.7,12.0,15.9,17.4,,10.3,16.4,5.1,0.98,17.0,2.3,9.7,2.1,38.9,6.7,Yes,No,No,Y,N,N,,100.0,4.0,7.0,61.0,16.0
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,3,35601,DECATUR,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,14.8,,4.22,,,177.06,1.99,0.32,15.5,0.11,,0.81,1.02,11.3,0.47,2.7,18.7,7.8,4.58,0.5,0.335,0.0,0.8140000000000001,,0.0,17.4,21.3,9.5,12.0,16.7,20.0,,25.5,14.9,5.0,0.97,16.4,4.9,10.6,1.4,43.2,6.6,Yes,No,No,Y,N,N,,89.0,2.0,8.0,76.0,32.0
10086,NORTHWEST MEDICAL CENTER,4,35594,WINFIELD,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,10.52,4.19,,1.1,,,0.39,17.4,0.1,,,0.94,12.7,0.2,,15.0,7.8,4.67,,0.836,,,,,15.6,20.7,9.8,13.1,,20.0,,,14.3,,1.0,6.4,4.7,0.7,1.4,45.9,7.1,Yes,Yes,Yes,Y,N,N,,89.0,1.0,7.0,42.0,12.0
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,4,36617,MOBILE,AL,Acute Care Hospitals,Government - State,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,,9.51,5.08,,1.04,135.25,2.15,0.43,17.8,0.1,6.39,0.84,0.97,12.0,0.16,,18.5,,5.06,1.46,1.035,2.531,1.673,,1.702,17.4,21.7,39.2,14.4,,20.7,,,16.3,,0.97,21.1,4.8,9.5,,,,Yes,No,No,Y,N,N,,,14.0,,60.0,47.0
10089,WALKER BAPTIST MEDICAL CENTER,3,35502,JASPER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,12.6,11.82,2.92,,1.1,,2.17,0.57,14.2,0.1,5.13,0.86,0.91,12.4,0.21,2.3,19.3,7.0,4.54,0.0,0.897,,1.2570000000000001,,1.704,16.0,22.5,23.4,12.7,17.3,21.1,,47.1,14.9,3.9,0.97,4.1,,3.9,1.0,41.3,4.8,Yes,Yes,Yes,Y,N,N,,99.0,2.0,2.0,44.0,13.0
10090,PROVIDENCE HOSPITAL,3,36608,MOBILE,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,16.1,15.57,4.92,4.3,0.92,175.85,2.07,0.4,19.0,0.09,6.0,0.82,1.12,15.6,0.27,2.9,15.8,6.6,5.3,0.613,0.564,1.495,1.01,0.0,0.897,19.9,20.9,25.1,13.1,18.2,19.9,14.1,23.8,15.0,4.2,0.98,39.6,,5.2,1.1,38.7,6.8,Yes,Yes,Yes,Y,Y,Y,,,1.0,,88.0,23.0
10091,GROVE HILL MEMORIAL HOSPITAL,4,36451,GROVE HILL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,,,,,,,,,0.4,,0.1,,,0.99,11.1,0.24,,17.1,8.3,,,,,,,,16.0,21.3,18.1,,,20.2,,,15.2,,0.99,26.9,,18.4,0.4,,5.0,Yes,Yes,Yes,Y,N,N,,87.0,2.0,13.0,78.0,36.0
10092,D C H REGIONAL MEDICAL CENTER,3,35401,TUSCALOOSA,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,16.1,,4.17,4.7,,146.15,1.69,0.41,13.7,0.1,,0.71,1.02,13.1,0.47,3.0,17.5,9.4,4.05,0.76,0.789,0.898,0.968,0.682,1.48,18.8,23.4,37.6,13.3,16.7,19.1,14.5,35.0,16.3,5.1,0.99,3.0,4.5,0.0,1.5,46.0,12.2,Yes,Yes,Yes,Y,N,Y,,94.0,3.0,8.0,25.0,43.0
