Summary star rating,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,OP_12,SM_PART_NURSE,OP_17,SM_PART_GEN_SURG,SM_SS_CHECK,OP_25,MORT_30_PN,PSI_11_POST_RESP,PSI_6_IAT_PTX,PSI_13_POST_SEPSIS,COMP_HIP_KNEE,PSI_3_ULCER,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,MORT_30_STK,PSI_14_POSTOP_DEHIS,MORT_30_HF,PSI_90_SAFETY,PSI_15_ACC_LAC,MORT_30_COPD,PSI_8_POST_HIP,MORT_30_AMI,PSI_4_SURG_COMP,PSI_9_POST_HEM,HAI_1_SIR,HAI_3_SIR,HAI_2_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,EDAC_30_AMI,READM_30_AMI,EDAC_30_HF,READM_30_CABG,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,READM_30_COPD,READM_30_STK,READM_30_HF,READM_30_PN,MSPB_1,OP_10,OP_8,OP_13,OP_9,OP_14,OP_11,OP_20,OP_21,OP_22,OP_5,OP_4
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Yes,Y,Yes,N,Y,Yes,16.9,10.34,0.38,5.37,2.7,0.24,3.13,5.7,0.9,14.8,2.09,11.7,0.85,0.8,10.0,0.1,13.0,148.41,4.06,0.87,0.0,0.906,,0.912,1.383,12.6,16.3,-3.2,17.3,15.5,4.7,20.4,12.6,21.9,17.9,1.03,4.1,40.0,0.0,5.8,1.9,0.4,33.0,68.0,2.0,,
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,19.7,12.02,0.3,5.4,2.0,1.57,3.4,4.3,0.89,13.0,2.08,12.0,1.16,0.8,8.4,0.11,14.8,159.93,4.18,1.596,0.71,1.011,0.769,1.267,1.189,31.6,16.8,6.2,14.3,15.6,4.7,17.5,13.1,20.0,18.4,1.02,18.2,50.0,,4.5,1.1,0.2,37.0,56.0,4.0,,
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.6,12.45,0.36,5.69,2.9,0.06,4.99,5.1,1.07,15.6,2.0,12.0,0.97,1.19,8.4,0.12,17.0,157.39,3.67,0.8079999999999999,0.0,1.3159999999999998,0.701,1.71,0.564,53.1,16.2,36.2,10.6,15.1,5.2,18.9,13.1,22.3,17.7,0.9,13.4,40.6,5.3,7.5,2.2,1.1,44.0,79.0,3.0,8.0,92.0
4,AL,Acute Care Hospitals,Government - State,Yes,Y,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Yes,Y,Yes,Y,Y,Yes,13.0,10.17,0.3,6.72,3.4,0.56,4.39,2.4,0.85,16.5,1.5,10.0,1.02,1.13,7.7,0.09,11.6,144.56,4.78,0.7290000000000001,0.879,0.309,0.792,1.371,0.642,30.8,16.4,30.1,12.8,16.8,5.6,20.0,15.0,22.0,18.0,0.96,22.3,40.7,10.5,7.0,1.5,0.1,40.0,91.0,4.0,,
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,Yes,N,Yes,N,Y,Yes,12.8,,0.39,,,0.22,4.25,,,,,9.4,0.99,,7.1,0.1,,,4.72,,,,,,1.128,,,-37.9,,14.8,,19.8,,21.7,15.8,0.94,10.8,,,5.7,,7.6,30.0,90.0,4.0,20.0,94.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,20.2,15.73,0.34,7.1,2.7,0.12,2.85,,1.08,16.8,2.16,12.4,1.04,0.85,7.8,0.11,14.3,136.05,4.25,0.407,0.0,0.362,,0.797,0.388,-5.3,16.2,17.0,,15.6,5.0,18.2,11.4,23.6,16.2,0.97,7.0,45.9,5.2,5.0,1.2,3.5,26.0,64.0,0.0,7.0,100.0
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.6,,0.37,,2.2,0.17,3.81,,,11.8,2.22,10.9,0.95,0.87,7.2,0.1,13.7,,4.62,,,0.0,,,0.687,,,-15.1,,15.4,4.0,20.2,12.2,22.7,17.7,0.94,9.9,29.1,1.2,5.2,1.5,16.5,3.0,21.0,1.0,0.0,100.0
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No,N,No,N,Y,Yes,14.0,12.86,0.43,6.22,2.6,0.17,4.28,,1.1,13.6,2.2,12.6,1.01,0.86,6.7,0.12,12.9,,4.36,,,0.6629999999999999,,,0.598,1.3,16.2,10.3,,15.4,4.7,19.8,13.6,22.5,18.6,0.98,6.4,,3.5,10.3,1.6,8.7,22.0,71.0,1.0,,
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Yes,Y,Yes,N,Y,Yes,17.3,12.67,0.34,7.6,2.0,0.51,4.05,1.8,1.13,16.8,1.64,11.6,1.11,0.67,9.0,0.11,13.0,170.87,4.46,1.233,0.87,1.138,0.611,2.005,0.435,0.6,15.9,20.6,11.7,15.6,4.9,20.1,12.6,21.0,17.3,1.01,16.0,44.1,5.7,6.0,2.7,0.2,35.0,60.0,1.0,9.0,100.0
2,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.5,13.68,0.34,8.23,4.2,0.08,4.0,3.0,0.98,13.1,2.04,13.0,1.07,0.81,8.1,0.1,15.1,136.68,3.93,0.26,0.0,0.431,,1.977,0.7909999999999999,1.6,16.6,38.9,14.5,16.1,5.7,19.9,11.9,21.8,19.2,1.03,12.0,38.9,5.3,6.8,1.4,4.3,35.0,96.0,6.0,7.0,
5,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,14.1,,0.4,,,0.25,,,,,,10.3,1.0,,8.0,0.1,,,,,,,,,,,,-0.1,,15.0,,18.2,,20.7,15.7,0.9,7.5,,,,0.0,2.6,25.0,36.0,2.0,9.0,100.0
5,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.7,,0.39,,,0.22,4.21,,,15.6,2.22,10.3,0.97,0.87,7.7,0.1,,,4.72,,,,,,2.472,,,21.6,,15.9,,21.5,11.4,21.6,19.0,0.94,2.3,43.6,,13.3,2.1,0.0,11.0,40.0,2.0,5.0,95.0
2,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,14.7,12.59,0.33,6.08,2.9,0.09,3.3,2.6,1.03,12.9,2.16,9.6,0.92,0.84,7.6,0.1,14.0,152.04,4.2,1.227,0.0,1.449,,3.167,0.3670000000000001,7.6,16.5,78.0,13.2,15.4,4.4,20.8,13.0,25.7,16.2,0.97,4.0,,,,,6.4,19.0,68.0,4.0,2.0,
4,AL,Acute Care Hospitals,Proprietary,Yes,Y,,,Same as the national average,Same as the national average,Above the national average,,Yes,N,No,N,Y,Yes,15.7,,0.39,,,0.23,,,,,,11.8,0.99,,8.2,0.1,,,,,,,,,,,,-3.0,,16.0,,19.4,,22.0,17.5,0.93,5.7,,,,,,34.0,50.0,1.0,5.0,93.0
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Yes,N,No,N,Y,Yes,18.4,11.04,0.38,5.62,2.1,0.2,3.7,,1.11,14.7,2.22,16.5,0.93,0.87,10.3,0.12,,,4.92,,,1.807,,,0.389,,,-8.8,,15.3,3.8,20.8,12.2,21.7,17.0,1.01,6.4,40.0,,7.7,4.5,1.0,22.0,71.0,2.0,8.0,100.0
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Above the national average,,No,N,No,N,N,Yes,14.5,,0.39,,,,,,,,,11.8,1.0,,7.6,0.1,,,,,,,,,,,,-30.4,,16.1,,19.3,,21.4,17.4,0.91,1.7,,,,,,24.0,60.0,1.0,8.0,87.0
4,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.7,12.75,0.47,5.21,3.3,0.26,3.34,3.2,1.05,16.9,2.02,13.1,0.94,0.8,8.5,0.11,14.9,157.98,4.09,0.434,0.903,1.3219999999999998,0.0,0.81,0.467,16.1,16.7,-3.9,12.3,14.5,5.0,17.8,11.7,19.9,15.1,1.02,3.8,44.1,6.4,5.6,2.3,0.7,39.0,78.0,1.0,,
4,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,14.4,14.57,0.37,6.38,2.5,0.06,5.44,5.3,1.31,14.1,2.86,10.3,1.08,0.74,7.1,0.09,14.9,164.21,3.47,1.852,0.48,1.017,1.374,1.06,0.488,25.3,16.6,34.8,17.6,13.7,4.0,19.6,12.2,21.0,16.1,1.05,7.4,40.8,7.8,6.9,2.0,1.8,44.0,57.0,2.0,,
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.0,,0.39,,,0.23,,,,,,12.2,0.99,,6.8,0.1,,,,,,,,,,,,28.6,,14.5,,19.1,,20.9,15.9,0.88,4.8,55.3,,6.6,5.0,1.3,17.0,46.0,1.0,6.0,95.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.5,9.93,0.38,6.47,2.7,0.18,3.91,,1.11,14.5,2.24,12.0,0.94,0.87,8.8,0.1,,,5.0,,,1.403,,,0.996,,,7.3,,15.4,4.3,19.5,13.6,21.3,16.5,0.96,4.5,,2.1,,,0.0,43.0,98.0,2.0,18.0,83.0
4,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,16.0,10.15,0.39,,,0.22,4.23,,1.11,,,13.8,0.93,,8.7,0.1,,,4.69,,,,,,0.0,,,16.8,,15.1,,20.0,,20.5,17.2,0.98,28.3,,,3.0,,0.0,23.0,45.0,4.0,6.0,75.0
4,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,19.7,9.79,0.43,5.58,3.9,0.16,3.52,,1.11,14.9,2.22,12.9,0.89,1.3,7.4,0.1,14.0,,5.45,,,0.191,,,0.8290000000000001,-33.1,15.8,-23.4,,15.8,6.8,17.7,12.1,21.7,18.4,0.99,5.7,,,6.7,0.6,3.6,17.0,49.0,1.0,0.0,97.0
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,No,N,Y,Yes,15.5,,0.39,,,0.22,4.23,,,13.3,,11.5,1.03,,8.6,0.12,,,4.73,,,,,,0.634,,,-38.8,,14.6,,20.8,12.6,20.2,15.8,1.0,5.1,,7.6,2.3,,6.0,9.0,56.0,3.0,14.0,100.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,18.3,,0.39,,,0.23,,,,,,13.7,0.99,,8.5,0.1,,,,,,,,,,,,-1.8,,14.3,,20.1,,19.3,16.7,1.03,5.5,,,4.2,,8.2,21.0,68.0,1.0,9.0,83.0
3,AL,Acute Care Hospitals,Government - Local,Yes,Y,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No,Y,No,Y,Y,Yes,18.7,14.1,0.35,9.43,4.1,0.41,5.59,4.2,1.23,14.0,2.56,12.2,1.28,0.79,7.0,0.09,12.2,168.71,4.54,1.686,0.0,1.081,,1.5319999999999998,0.29,24.4,16.6,40.0,14.9,15.3,6.0,18.2,11.8,20.0,16.4,1.0,9.6,47.1,9.2,7.6,3.4,0.7,59.0,86.0,2.0,12.0,94.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Yes,Y,Yes,N,Y,Yes,18.0,17.67,0.43,5.42,2.5,0.14,4.66,,1.1,14.7,2.21,11.1,1.11,0.86,7.6,0.1,,,4.48,1.794,,0.0,,,0.625,,,0.9,,15.4,4.4,21.1,12.9,22.3,18.0,0.92,27.2,43.5,4.3,8.4,2.6,0.3,26.0,72.0,2.0,5.0,96.0
4,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No,N,No,N,Y,Yes,14.0,15.1,0.46,5.13,2.8,0.12,4.19,,1.08,15.6,2.15,11.2,1.02,0.85,7.2,0.12,13.8,,4.52,0.0,1.953,0.741,,0.0,0.737,10.3,15.9,13.7,,16.4,5.1,17.4,12.0,21.0,17.4,0.98,17.0,38.9,2.3,6.7,2.1,9.7,16.0,61.0,4.0,7.0,100.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,No,N,No,N,Y,Yes,18.7,,0.32,,2.7,0.47,4.22,,,15.5,1.99,11.3,1.02,0.81,7.8,0.11,14.8,177.06,4.58,0.0,0.0,0.5,,0.8140000000000001,0.335,25.5,16.7,9.5,,14.9,5.0,20.0,12.0,21.3,17.4,0.97,16.4,43.2,4.9,6.6,1.4,10.6,32.0,76.0,2.0,8.0,89.0
4,AL,Acute Care Hospitals,Proprietary,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,15.0,10.52,0.39,,,0.2,4.19,,1.1,17.4,,12.7,0.94,,7.8,0.1,,,4.67,,,,,,0.836,,,9.8,,14.3,,20.0,13.1,20.7,15.6,1.0,6.4,45.9,4.7,7.1,1.4,0.7,12.0,42.0,1.0,7.0,89.0
4,AL,Acute Care Hospitals,Government - State,Yes,Y,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No,N,No,N,Y,Yes,18.5,9.51,0.43,6.39,,0.16,5.08,,1.04,17.8,2.15,12.0,0.97,0.84,,0.1,,135.25,5.06,1.702,2.531,1.46,,1.673,1.035,,,39.2,,16.3,,20.7,14.4,21.7,17.4,0.97,21.1,,4.8,,,9.5,47.0,60.0,14.0,,
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,19.3,11.82,0.57,5.13,2.3,0.21,2.92,,1.1,14.2,2.17,12.4,0.91,0.86,7.0,0.1,12.6,,4.54,1.704,,0.0,,1.257,0.897,47.1,17.3,23.4,,14.9,3.9,21.1,12.7,22.5,16.0,0.97,4.1,41.3,,4.8,1.0,3.9,13.0,44.0,2.0,2.0,99.0
3,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Yes,Y,Yes,Y,Y,Yes,15.8,15.57,0.4,6.0,2.9,0.27,4.92,4.3,0.92,19.0,2.07,15.6,1.12,0.82,6.6,0.09,16.1,175.85,5.3,0.897,1.495,0.613,0.0,1.01,0.564,23.8,18.2,25.1,14.1,15.0,4.2,19.9,13.1,20.9,19.9,0.98,39.6,38.7,,6.8,1.1,5.2,23.0,88.0,1.0,,
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Below the national average,Same as the national average,,Yes,N,Yes,N,Y,Yes,17.1,,0.4,,,0.24,,,,,,11.1,0.99,,8.3,0.1,,,,,,,,,,,,18.1,,15.2,,20.2,,21.3,16.0,0.99,26.9,,,5.0,0.4,18.4,36.0,78.0,2.0,13.0,87.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Yes,Y,Yes,N,Y,Yes,17.5,,0.41,,3.0,0.47,4.17,4.7,,13.7,1.69,13.1,1.02,0.71,9.4,0.1,16.1,146.15,4.05,1.48,0.898,0.76,0.682,0.968,0.789,35.0,16.7,37.6,14.5,16.3,5.1,19.1,13.3,23.4,18.8,0.99,3.0,46.0,4.5,12.2,1.5,0.0,43.0,25.0,3.0,8.0,94.0
4,AL,Acute Care Hospitals,Government - State,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,,No,N,No,N,Y,Yes,15.2,,0.39,,,0.23,,,,,,11.0,0.99,,8.5,0.1,,,,,,,,,,,,-9.8,,15.0,,19.6,,21.7,16.7,0.97,12.2,,,8.6,,,19.0,47.0,2.0,8.0,91.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Below the national average,No,N,Yes,N,Y,Yes,21.8,10.89,0.39,5.76,,0.21,4.14,,1.12,16.2,2.22,12.3,0.95,0.87,7.6,0.1,15.2,,4.66,,,,,,2.045,,,-9.4,,15.7,,21.6,,19.9,16.3,1.02,19.2,42.0,0.9,11.0,,2.1,35.0,52.0,2.0,6.0,86.0
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Yes,N,Yes,N,Y,Yes,15.9,9.33,0.38,5.12,2.9,0.11,4.71,3.9,1.01,13.4,2.7,12.2,0.86,0.83,8.3,0.1,12.6,138.33,3.56,0.748,0.922,0.6990000000000001,0.0,1.061,0.193,4.7,15.9,4.3,14.1,16.3,4.8,17.8,10.7,22.1,17.7,0.96,20.5,45.5,,9.1,2.3,1.4,30.0,37.0,3.0,,
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,19.5,,0.38,,,0.25,3.99,,,14.4,,12.9,0.97,,7.4,0.1,,,4.63,,,,,,0.495,,,-16.5,,15.4,,19.0,12.6,22.3,16.5,1.0,8.4,,6.0,5.1,0.7,6.0,18.0,55.0,2.0,5.0,97.0
3,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,19.9,8.03,0.33,5.43,2.4,0.5,4.61,4.4,1.37,15.6,1.96,12.0,0.94,0.78,7.4,0.11,16.9,143.77,4.61,1.196,0.0,1.349,,0.6859999999999999,0.826,32.2,17.4,44.9,15.3,15.6,4.4,18.6,12.6,23.5,14.9,1.01,11.3,43.9,,4.0,,6.5,34.0,95.0,2.0,,
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.5,13.55,0.4,5.31,3.6,0.11,5.21,4.2,0.91,16.8,2.04,12.1,1.04,0.8,9.0,0.09,14.4,171.21,6.46,0.431,0.0,0.459,0.0,0.779,0.388,19.7,16.0,-2.8,14.0,15.7,4.7,22.8,12.1,20.2,17.5,1.01,7.4,38.1,,7.0,2.2,1.3,20.0,49.0,3.0,,
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.2,,0.38,,,0.17,4.08,,,15.4,,8.7,0.98,,6.3,0.1,13.6,,4.69,,1.951,0.0,,,0.959,-27.5,16.0,-20.2,,14.8,,18.9,11.9,20.6,17.1,0.94,5.7,50.0,,5.6,,0.0,31.0,74.0,3.0,11.0,96.0
